## <run number>, <fEvtHdr.fTrigBits>, <N Events>
13549, 1, 5386432
13549, 16, 32
13549, 17, 1
13549, 32, 48
13549, 33, 1
13550, 1, 3045829
13550, 16, 17
13550, 32, 34
13551, 1, 275913
13551, 32, 7
13552, 1, 1861170
13552, 16, 9
13552, 17, 2
13552, 32, 14
13554, 1, 910510
13554, 16, 3
13554, 32, 11
13556, 1, 3251582
13556, 16, 13
13556, 32, 35
13557, 1, 1978236
13557, 16, 10
13557, 32, 23
13558, 1, 3719055
13558, 16, 19
13558, 32, 36
13559, 1, 3536724
13559, 16, 14
13559, 32, 41
13560, 1, 3562825
13560, 16, 22
13560, 32, 28
13561, 1, 3713367
13561, 16, 17
13561, 32, 36
13562, 1, 3476195
13562, 16, 15
13562, 32, 27
13562, 33, 1
13563, 1, 3566467
13563, 16, 12
13563, 32, 36
13563, 33, 1
13564, 1, 3748714
13564, 16, 28
13564, 32, 36
13565, 1, 3398807
13565, 16, 20
13565, 32, 22
13565, 33, 1
13566, 1, 4549415
13566, 16, 26
13566, 17, 1
13566, 32, 35
13566, 33, 2
13567, 1, 3886901
13567, 16, 23
13567, 32, 39
13568, 1, 3790043
13568, 16, 19
13568, 32, 32
13568, 33, 2
13569, 1, 3780902
13569, 16, 19
13569, 32, 40
13569, 33, 1
13570, 1, 3679354
13570, 16, 20
13570, 32, 33
13570, 33, 1
13571, 1, 3756617
13571, 16, 15
13571, 32, 29
13573, 1, 4399229
13573, 16, 19
13573, 32, 40
13573, 33, 1
13574, 1, 4684012
13574, 16, 20
13574, 17, 1
13574, 32, 43
13574, 33, 1
13575, 1, 4783136
13575, 16, 21
13575, 17, 1
13575, 32, 38
13576, 1, 4607053
13576, 16, 16
13576, 32, 44
13576, 33, 1
13577, 1, 4686151
13577, 16, 12
13577, 17, 3
13577, 32, 34
13577, 33, 1
13578, 1, 4650386
13578, 16, 22
13578, 32, 44
13580, 1, 4194037
13580, 16, 13
13580, 32, 30
13581, 1, 2279378
13581, 16, 14
13581, 32, 17
13581, 33, 1
13582, 1, 3982232
13582, 16, 20
13582, 32, 28
13582, 33, 1
13583, 1, 4029014
13583, 16, 19
13583, 32, 39
13583, 33, 2
13584, 1, 4045654
13584, 16, 17
13584, 32, 34
13585, 1, 4257291
13585, 16, 11
13585, 32, 34
13586, 1, 1588976
13586, 16, 6
13586, 32, 14
13587, 1, 4393047
13587, 16, 21
13587, 32, 34
13587, 33, 1
13588, 1, 4262587
13588, 16, 17
13588, 17, 1
13588, 32, 38
13589, 1, 4264364
13589, 16, 36
13589, 32, 28
13589, 33, 1
13590, 1, 508063
13590, 16, 2
13590, 32, 2
13591, 1, 4441713
13591, 16, 27
13591, 32, 44
13592, 1, 159337
13592, 16, 1
13593, 1, 1517004
13593, 16, 9
13593, 32, 14
13596, 1, 3331980
13596, 16, 24
13596, 32, 32
13596, 33, 1
13597, 1, 2623223
13597, 16, 18
13597, 32, 29
13597, 33, 1
13608, 1, 3253017
13608, 16, 23
13608, 32, 20
13609, 1, 3192689
13609, 16, 17
13609, 32, 31
13609, 33, 1
13610, 1, 3234287
13610, 16, 14
13610, 32, 43
13612, 1, 4013874
13612, 16, 18
13612, 17, 1
13612, 32, 44
13613, 1, 3411743
13613, 16, 19
13613, 32, 37
13613, 33, 2
13614, 1, 881645
13614, 16, 2
13614, 32, 14
13615, 1, 4240862
13615, 16, 31
13615, 32, 38
13616, 1, 4156779
13616, 16, 26
13616, 32, 45
13616, 33, 1
13617, 1, 4240825
13617, 16, 23
13617, 32, 49
13618, 1, 4236396
13618, 16, 28
13618, 32, 45
13619, 1, 336556
13619, 16, 1
13619, 32, 4
13620, 1, 3771382
13620, 16, 22
13620, 32, 33
