## <run number>, <fEvtHdr.fTrigBits>, <N Events>
13444, 1, 982336
13445, 1, 87837
13446, 1, 93997
13447, 1, 91057
13448, 1, 261290
13449, 1, 92249
13450, 1, 963648
13451, 1, 487359
13452, 1, 2384430
13453, 1, 5720813
13454, 1, 3154022
13455, 1, 2206761
13459, 1, 3805048
13459, 16, 15
13459, 32, 33
13459, 33, 1
13460, 1, 3767043
13460, 16, 13
13460, 32, 23
13461, 1, 3861016
13461, 16, 14
13461, 17, 1
13461, 32, 36
13463, 1, 4030706
13463, 16, 11
13463, 32, 26
13463, 33, 1
13464, 1, 3963879
13464, 16, 14
13464, 17, 1
13464, 32, 25
13464, 33, 1
13465, 1, 3705768
13465, 16, 20
13465, 17, 1
13465, 32, 28
13466, 1, 3766353
13466, 16, 17
13466, 32, 28
13466, 33, 1
13468, 1, 3674774
13468, 16, 17
13468, 32, 42
13470, 1, 3474973
13470, 16, 21
13470, 32, 34
13472, 1, 3532672
13472, 16, 16
13472, 32, 47
13472, 33, 1
13473, 1, 3006973
13473, 16, 13
13473, 32, 37
13474, 1, 3378812
13474, 16, 21
13474, 32, 34
13474, 33, 1
13475, 1, 2548097
13475, 16, 18
13475, 32, 27
13476, 1, 2808769
13476, 16, 19
13476, 32, 37
13477, 1, 2716103
13477, 16, 21
13477, 17, 1
13477, 32, 30
13478, 1, 3316373
13478, 16, 30
13478, 32, 29
13479, 1, 4584725
13479, 16, 37
13479, 32, 59
13482, 1, 781205
13482, 16, 3
13482, 32, 12
13483, 1, 2677354
13483, 16, 15
13483, 32, 28
13483, 33, 1
13484, 1, 2284888
13484, 16, 13
13484, 32, 16
13485, 1, 1067226
13485, 16, 6
13485, 32, 7
13486, 1, 2368746
13486, 16, 10
13486, 32, 17
13487, 1, 2942433
13487, 16, 20
13487, 32, 35
13487, 33, 1
13488, 1, 2686462
13488, 16, 14
13488, 32, 19
13489, 1, 2310268
13489, 16, 9
13489, 32, 25
13489, 33, 1
13490, 1, 2712720
13490, 16, 11
13490, 32, 26
13491, 1, 2776763
13491, 16, 16
13491, 32, 31
13492, 1, 4264230
13492, 16, 30
13492, 32, 46
13493, 1, 4375978
13493, 16, 30
13493, 32, 53
13494, 1, 4126440
13494, 16, 23
13494, 32, 42
13495, 1, 4109649
13495, 16, 27
13495, 32, 56
13496, 1, 4237915
13496, 16, 32
13496, 32, 36
13497, 1, 1681891
13497, 16, 10
13497, 32, 13
13502, 1, 4410068
13502, 16, 21
13502, 32, 33
13503, 1, 4402917
13503, 16, 27
13503, 32, 46
13503, 33, 1
13504, 1, 4473322
13504, 16, 30
13504, 32, 29
13505, 1, 4605751
13505, 16, 29
13505, 17, 1
13505, 32, 46
13505, 33, 1
13536, 1, 1607057
13536, 16, 4
13536, 32, 6
13536, 33, 1
13537, 1, 4114562
13537, 16, 11
13537, 32, 21
13537, 33, 1
13538, 1, 3864009
13538, 16, 18
13538, 17, 2
13538, 32, 24
13538, 33, 1
13539, 1, 4139335
13539, 16, 13
13539, 32, 35
13540, 1, 4113848
13540, 16, 21
13540, 32, 28
13540, 33, 1
13541, 1, 4138064
13541, 16, 17
13541, 32, 23
13541, 33, 1
13542, 1, 4195528
13542, 16, 24
13542, 17, 1
13542, 32, 33
13542, 33, 1
13543, 1, 2147361
13543, 16, 6
13543, 32, 12
13544, 1, 4014853
13544, 16, 19
13544, 32, 34
13544, 33, 2
13545, 1, 3961473
13545, 16, 19
13545, 32, 37
13546, 1, 4002315
13546, 16, 28
13546, 32, 40
13547, 1, 4038997
13547, 16, 28
13547, 32, 38
13547, 33, 1
13548, 1, 4231674
13548, 16, 22
13548, 32, 37
13548, 33, 1
