## <run number>, <fEvtHdr.fTrigBits>, <N Events>
13654, 1, 88446
13654, 16, 2
13655, 1, 536788
13655, 16, 1
13655, 32, 6
13656, 1, 773461
13656, 16, 4
13656, 32, 11
13657, 1, 304074
13657, 32, 2
13660, 1, 476068
13660, 16, 4
13660, 32, 6
13661, 1, 1371670
13661, 16, 24
13661, 32, 31
13662, 1, 1318535
13662, 16, 22
13662, 32, 43
13662, 33, 1
13663, 1, 666875
13663, 16, 8
13663, 32, 12
13664, 1, 1096806
13664, 16, 19
13664, 32, 33
13665, 1, 670975
13665, 16, 11
13665, 32, 17
13666, 1, 867809
13666, 16, 20
13666, 32, 24
13676, 1, 680627
13676, 16, 11
13676, 32, 12
13677, 1, 937561
13677, 16, 33
13677, 32, 44
13678, 1, 777126
13678, 16, 29
13678, 32, 47
13679, 1, 930322
13679, 16, 28
13679, 32, 60
13680, 1, 916216
13680, 16, 38
13680, 32, 54
13681, 1, 1078046
13681, 16, 48
13681, 32, 63
13682, 1, 63175
13682, 16, 3
13682, 32, 2
13683, 1, 633760
13683, 16, 13
13683, 32, 27
13683, 33, 1
13684, 1, 1126013
13684, 16, 42
13684, 32, 63
13685, 1, 1095126
13685, 16, 38
13685, 32, 69
13686, 1, 1825464
13686, 16, 71
13686, 32, 134
13687, 1, 1814981
13687, 16, 78
13687, 32, 101
13688, 1, 919050
13688, 16, 41
13688, 32, 61
13689, 1, 151285
13689, 16, 3
13689, 32, 5
13694, 1, 1854796
13694, 16, 63
13694, 17, 1
13694, 32, 94
13695, 1, 527283
13695, 16, 14
13695, 32, 24
13696, 1, 716393
13696, 16, 17
13696, 32, 25
13697, 1, 547573
13697, 16, 7
13697, 32, 34
13698, 1, 57947
13698, 16, 6
13698, 32, 6
13699, 1, 603216
13699, 16, 17
13699, 32, 37
13700, 1, 451602
13700, 16, 14
13700, 32, 24
13710, 1, 245138
13710, 16, 12
13710, 32, 15
13711, 1, 118546
13711, 16, 8
13711, 32, 10
13712, 1, 1791848
13712, 16, 88
13712, 17, 2
13712, 32, 153
13712, 33, 1
13714, 1, 1779401
13714, 16, 79
13714, 32, 155
13715, 1, 1781788
13715, 16, 101
13715, 32, 125
13716, 1, 1724185
13716, 16, 80
13716, 32, 162
13717, 1, 434810
13717, 16, 23
13717, 32, 35
13719, 1, 777382
13719, 16, 28
13719, 32, 30
13720, 1, 433220
13720, 16, 15
13720, 32, 22
13721, 1, 1006959
13721, 16, 47
13721, 32, 87
13723, 1, 1997787
13723, 16, 99
13723, 32, 131
13723, 33, 1
13724, 1, 341717
13724, 16, 13
13724, 32, 28
13727, 1, 1700320
13727, 16, 70
13727, 32, 132
13728, 1, 1696367
13728, 16, 76
13728, 32, 128
13728, 33, 1
13729, 1, 1761697
13729, 16, 88
13729, 32, 135
13730, 1, 1215903
13730, 16, 27
13730, 32, 52
13730, 33, 1
13731, 1, 1711425
13731, 16, 84
13731, 32, 155
13732, 1, 1822464
13732, 16, 78
13732, 32, 153
13734, 1, 1638418
13734, 16, 67
13736, 1, 1728675
13736, 16, 84
13737, 1, 526487
13737, 16, 16
13746, 1, 1198130
13746, 16, 47
13747, 1, 1220982
13747, 16, 41
13748, 1, 1712653
13748, 16, 77
13749, 1, 1160775
13749, 16, 55
13749, 17, 1
13753, 1, 1182451
13753, 16, 43
13754, 1, 75476
13754, 16, 2
13755, 1, 967980
13755, 16, 43
13756, 1, 31874
13756, 16, 2
13757, 1, 32781
13757, 16, 2
13758, 1, 32711
13758, 16, 2
13760, 1, 32181
13760, 16, 2
13761, 1, 32440
13761, 16, 4
13764, 1, 831756
13764, 16, 34
13765, 1, 873620
13765, 16, 50
13766, 1, 888808
13766, 16, 55
13767, 1, 747541
13767, 16, 35
13768, 1, 635643
13768, 16, 14
13769, 1, 608295
13769, 16, 13
13770, 1, 903840
13770, 16, 55
13771, 1, 219119
13771, 16, 15
13773, 1, 864870
13773, 16, 45
13773, 32, 78
13775, 1, 313696
13775, 16, 9
13775, 32, 20
13776, 1, 1262820
13776, 16, 60
13776, 32, 94
13777, 1, 876346
13777, 16, 34
13777, 32, 78
13778, 1, 1754310
13778, 16, 90
13778, 32, 137
13779, 1, 1748706
13779, 16, 86
13779, 32, 163
13787, 1, 56834
13787, 32, 3
13788, 1, 64185
13788, 16, 5
13788, 32, 1
13789, 1, 70713
13789, 16, 3
13789, 32, 8
13790, 1, 105969
13790, 16, 7
13790, 32, 12
13791, 1, 155294
13791, 16, 4
13792, 1, 277192
13792, 16, 6
13792, 32, 26
13793, 1, 533602
13793, 16, 31
13793, 17, 1
13793, 32, 46
13795, 1, 625348
13795, 16, 22
13795, 32, 25
13796, 1, 657880
13796, 16, 16
13796, 32, 30
13797, 1, 1020967
13797, 16, 64
13797, 32, 78
13798, 1, 866981
13798, 16, 33
13798, 32, 56
13799, 1, 793157
13799, 16, 44
13799, 32, 57
