## <run number>, <fEvtHdr.fTrigBits>, <N Events>
13225, 1, 8317
13226, 1, 128742
13226, 16, 7
13227, 1, 18252
13228, 1, 131895
13228, 16, 3
13230, 1, 120626
13232, 1, 291448
13232, 16, 2
13233, 1, 246323
13233, 16, 3
13234, 1, 114497
13235, 1, 77706
13235, 16, 1
13236, 1, 69862
13236, 16, 2
13237, 1, 124366
13237, 16, 1
13238, 1, 22807
13239, 1, 85707
13239, 16, 4
13240, 1, 27874
13241, 1, 148335
13241, 16, 10
13242, 1, 62023
13242, 16, 3
13243, 1, 68206
13243, 16, 7
13244, 1, 128980
13244, 16, 9
13297, 1, 31546
13297, 16, 1
13297, 32, 4
13298, 1, 7805
13298, 32, 2
13299, 1, 40837
13299, 16, 4
13299, 32, 3
13300, 1, 30393
13300, 16, 3
13300, 32, 1
13301, 1, 136633
13301, 16, 10
13301, 32, 7
13302, 1, 11376
13302, 16, 1
13303, 1, 22655
13303, 16, 1
13303, 32, 1
13304, 1, 169064
13304, 16, 13
13304, 32, 8
13305, 1, 807413
13305, 16, 41
13305, 32, 44
13306, 1, 1014420
13306, 16, 43
13306, 32, 61
13307, 1, 1035288
13307, 16, 55
13307, 32, 64
13308, 1, 1125507
13308, 16, 44
13308, 32, 66
13308, 33, 1
13309, 1, 1057352
13309, 16, 56
13309, 32, 52
13312, 1, 464447
13312, 16, 21
13312, 32, 30
13313, 1, 477516
13313, 16, 20
13313, 32, 31
13314, 1, 1055125
13314, 16, 43
13314, 32, 61
13315, 1, 328785
13315, 16, 14
13315, 32, 22
13316, 1, 103749
13316, 16, 4
13316, 32, 5
13317, 1, 1197179
13317, 16, 51
13317, 32, 65
13318, 1, 1257235
13318, 16, 58
13318, 32, 54
13319, 1, 1074816
13319, 16, 59
13319, 32, 60
13320, 1, 152430
13320, 16, 8
13320, 32, 11
13321, 1, 822621
13321, 16, 36
13321, 17, 1
13321, 32, 48
13322, 1, 1008095
13322, 16, 53
13322, 32, 50
13323, 1, 1119597
13323, 16, 45
13323, 32, 65
13324, 1, 953675
13324, 16, 38
13324, 32, 64
13324, 33, 1
13325, 1, 1079990
13325, 16, 43
13325, 32, 62
13342, 1, 383359
13342, 16, 21
13342, 32, 15
13344, 1, 653467
13344, 16, 27
13344, 32, 19
13345, 1, 267849
13345, 16, 12
13345, 32, 4
13346, 1, 122970
13346, 16, 10
13346, 32, 6
13348, 1, 364959
13348, 16, 17
13348, 32, 10
13349, 1, 438003
13349, 16, 22
13349, 32, 16
13351, 1, 512969
13351, 16, 27
13351, 32, 13
13352, 1, 270645
13352, 16, 9
13352, 32, 10
13353, 1, 459788
13353, 16, 11
13353, 32, 10
13357, 1, 1141711
13357, 16, 70
13357, 32, 90
13358, 1, 1041481
13358, 16, 75
13358, 32, 76
13359, 1, 1022386
13359, 16, 58
13359, 32, 91
13360, 1, 1227736
13360, 16, 72
13360, 32, 88
13361, 1, 1210592
13361, 16, 71
13361, 32, 92
13362, 1, 928066
13362, 16, 52
13362, 32, 77
13362, 33, 1
13363, 1, 1042898
13363, 16, 57
13363, 32, 77
13364, 1, 1029338
13364, 16, 73
13364, 32, 89
13368, 1, 881778
13368, 16, 52
13368, 32, 71
13369, 1, 1039946
13369, 16, 77
13369, 32, 73
13370, 1, 869700
13370, 16, 45
13370, 32, 66
13371, 1, 433780
13371, 16, 40
13371, 32, 38
13372, 1, 966688
13372, 16, 57
13372, 32, 76
13373, 1, 743809
13373, 16, 39
13373, 17, 1
13373, 32, 60
13375, 1, 414008
13375, 16, 29
13375, 32, 52
13376, 1, 312534
13376, 16, 34
13376, 32, 43
13377, 1, 16777
13377, 16, 2
13377, 32, 1
13378, 1, 412311
13378, 16, 33
13378, 32, 53
13379, 1, 690538
13379, 16, 33
13379, 32, 60
13381, 1, 972239
13381, 16, 56
13381, 32, 82
13382, 1, 962410
13382, 16, 52
13382, 32, 100
13384, 1, 960979
13384, 16, 64
13384, 32, 63
13385, 1, 1031902
13385, 16, 85
13385, 32, 78
13385, 33, 1
13387, 1, 972606
13387, 16, 62
13387, 32, 81
13388, 1, 990141
13388, 16, 68
13388, 32, 73
13389, 1, 469826
13389, 16, 25
13389, 32, 37
13390, 1, 201897
13390, 16, 9
13390, 32, 13
13391, 1, 1126547
13391, 16, 87
13391, 32, 94
13392, 1, 262510
13392, 16, 14
13392, 17, 1
13392, 32, 20
13393, 1, 919700
13393, 16, 76
13393, 32, 65
13394, 1, 428590
13394, 16, 18
13394, 32, 36
13395, 1, 237546
13395, 16, 12
13395, 17, 1
13395, 32, 17
13396, 1, 108426
13396, 16, 6
13396, 32, 13
13397, 1, 552567
13397, 16, 32
13397, 32, 39
13397, 33, 1
13398, 1, 981747
13398, 16, 52
13398, 32, 71
13399, 1, 174476
13399, 16, 10
13399, 32, 12
13400, 1, 966860
13400, 16, 58
13400, 17, 1
13400, 32, 86
13402, 1, 951066
13402, 16, 65
13402, 32, 85
13403, 1, 772660
13403, 16, 35
13403, 32, 63
13405, 1, 426659
13405, 16, 35
13405, 32, 39
13406, 1, 1048516
13406, 16, 64
13406, 32, 74
13407, 1, 1323732
13407, 16, 100
13407, 32, 123
