## <run number>, <fEvtHdr.fTrigBits>, <N Events>
12307, 1, 24846
12308, 1, 15767
12309, 1, 13812
12310, 1, 187928
12311, 1, 135544
12312, 1, 17830
12313, 1, 375884
12314, 1, 1147729
12315, 1, 1009781
12316, 1, 199833
12318, 1, 333673
12318, 32, 37
12319, 1, 305137
12319, 32, 45
12320, 1, 463436
12320, 32, 19
12321, 1, 113223
12321, 32, 15
12322, 1, 530221
12322, 32, 74
12323, 1, 90064
12323, 32, 11
12333, 1, 1852522
12333, 32, 218
12335, 1, 157723
12335, 32, 23
12336, 1, 256908
12336, 32, 31
12337, 1, 1296026
12337, 32, 162
12338, 1, 408109
12338, 32, 50
12339, 1, 760000
12339, 32, 94
12340, 1, 256392
12340, 32, 33
12341, 1, 103044
12341, 32, 12
12342, 1, 277323
12342, 32, 40
12343, 1, 231677
12343, 32, 41
12344, 1, 306199
12344, 32, 54
12345, 1, 392743
12345, 32, 38
12346, 1, 1107833
12346, 32, 140
12347, 1, 217432
12347, 32, 24
12348, 1, 919812
12348, 32, 109
12348, 33, 1
12349, 1, 182285
12349, 32, 25
12355, 1, 463631
12355, 32, 46
12356, 1, 1125612
12356, 32, 134
12357, 1, 153741
12357, 32, 16
12358, 1, 391820
12358, 32, 54
12359, 1, 1215208
12359, 32, 159
12359, 33, 1
12360, 1, 1210636
12360, 32, 154
12362, 1, 1233268
12362, 32, 146
12362, 33, 3
12363, 1, 409785
12363, 32, 45
12364, 1, 2149519
12364, 32, 245
12366, 1, 284697
12366, 32, 35
12367, 1, 97658
12367, 32, 13
12368, 1, 60603
12368, 32, 6
12369, 1, 332008
12369, 32, 39
12370, 1, 301468
12370, 32, 27
12371, 1, 56669
12371, 32, 7
12372, 1, 470917
12372, 32, 68
12373, 1, 687235
12373, 32, 88
12374, 1, 611513
12374, 32, 95
12375, 1, 607701
12375, 32, 84
12376, 1, 603111
12376, 32, 79
12377, 1, 608308
12377, 32, 88
12378, 1, 557347
12378, 32, 80
12379, 1, 665085
12379, 32, 94
12380, 1, 405508
12380, 32, 44
12382, 1, 396728
12382, 32, 44
12383, 1, 642532
12383, 32, 99
12384, 1, 630667
12384, 32, 78
12385, 1, 97909
12385, 32, 13
12387, 1, 652682
12387, 32, 83
12388, 1, 630601
12388, 32, 82
12394, 1, 694012
12394, 32, 65
12395, 1, 838608
12395, 32, 110
12396, 1, 670542
12396, 32, 73
12400, 1, 227576
12400, 32, 32
12401, 1, 260493
12401, 32, 27
12403, 1, 531843
12403, 32, 56
12404, 1, 492909
12404, 32, 66
12405, 1, 601478
12405, 32, 73
12405, 33, 1
