## <run number>, <fEvtHdr.fTrigBits>, <N Events>
12406, 1, 613870
12406, 32, 80
12407, 1, 339553
12407, 32, 43
12408, 1, 763848
12408, 32, 89
12409, 1, 303292
12409, 32, 42
12410, 1, 631213
12410, 32, 78
12411, 1, 97045
12411, 32, 16
12412, 1, 359376
12412, 32, 43
12414, 1, 167144
12414, 32, 15
12415, 1, 234608
12415, 32, 23
12416, 1, 59491
12416, 32, 7
12423, 1, 134369
12423, 32, 19
12424, 1, 154372
12424, 32, 31
12425, 1, 274584
12425, 32, 46
12427, 1, 135117
12427, 32, 16
12428, 1, 136001
12428, 32, 14
12429, 1, 81534
12429, 32, 11
12471, 1, 395839
12471, 32, 50
12472, 1, 38809
12472, 32, 3
12491, 1, 27516
12491, 32, 5
12496, 1, 243945
12496, 32, 17
12497, 1, 384776
12497, 32, 36
12524, 1, 157612
12524, 16, 147
12524, 32, 17
12525, 1, 247658
12525, 16, 264
12525, 32, 25
12526, 1, 158516
12526, 16, 168
12526, 32, 19
12548, 1, 296352
12548, 32, 37
12561, 1, 232963
12561, 32, 37
12563, 1, 232083
12563, 32, 42
12575, 1, 251891
12575, 32, 49
12576, 1, 177254
12576, 32, 26
12587, 1, 215693
12587, 32, 34
12588, 1, 224774
12588, 32, 25
12625, 1, 113859
12625, 16, 20
12625, 32, 20
12626, 1, 92868
12626, 16, 9
12626, 32, 18
12657, 1, 138304
12657, 32, 21
12658, 1, 68593
12658, 32, 8
12675, 1, 100239
12675, 16, 21
12676, 1, 115491
12676, 16, 18
12677, 1, 91017
12677, 16, 11
12691, 1, 101087
12691, 16, 20
12692, 1, 99720
12692, 16, 28
12704, 1, 148568
12704, 16, 34
12705, 1, 56539
12705, 16, 6
12716, 1, 191022
12716, 16, 31
12730, 1, 129243
12730, 16, 21
12731, 1, 186406
12731, 16, 27
12747, 1, 3144
12758, 1, 125329
12758, 16, 31
12758, 32, 13
12765, 1, 72519
12765, 16, 15
12765, 32, 13
12776, 1, 133335
12776, 16, 20
12776, 32, 22
12777, 1, 74665
12777, 16, 16
12777, 32, 18
12803, 1, 113911
12803, 16, 16
12803, 32, 17
12808, 1, 1107
12809, 1, 114980
12809, 16, 17
12810, 1, 39286
12810, 16, 7
12812, 1, 34279
12812, 16, 5
12822, 1, 93874
12822, 16, 16
12823, 1, 94884
12823, 16, 19
12894, 1, 434978
12894, 16, 79
12894, 32, 67
12895, 1, 180860
12895, 16, 30
12895, 32, 29
12896, 1, 372267
12896, 16, 68
12896, 32, 61
12897, 1, 273930
12897, 16, 37
12897, 32, 36
12902, 1, 162283
12902, 16, 31
12902, 32, 22
12903, 1, 17259
12903, 16, 2
12903, 32, 4
12904, 1, 344458
12904, 16, 51
12904, 32, 46
12906, 1, 375419
12906, 16, 66
12906, 32, 54
12907, 1, 472118
12907, 16, 70
12907, 32, 79
12908, 1, 388296
12908, 16, 75
12908, 32, 48
12909, 1, 471598
12909, 16, 75
12909, 32, 61
12910, 1, 163784
12910, 16, 34
12910, 32, 27
12911, 1, 39615
12911, 16, 8
12911, 32, 6
12912, 1, 363595
12912, 16, 76
12912, 32, 61
12913, 1, 43931
12913, 16, 4
12913, 32, 4
12914, 1, 143196
12914, 16, 26
12914, 32, 19
12915, 1, 297867
12915, 16, 61
12915, 32, 34
12916, 1, 397664
12916, 16, 80
12916, 32, 52
12917, 1, 395525
12917, 16, 76
12917, 32, 70
12918, 1, 401075
12918, 16, 74
12918, 32, 66
12919, 1, 394621
12919, 16, 79
12919, 32, 79
12920, 1, 428668
12920, 16, 93
12920, 32, 77
12921, 1, 142041
12921, 16, 37
12921, 32, 24
12923, 1, 90575
12923, 16, 14
12923, 32, 7
12930, 1, 94750
12930, 16, 16
12930, 32, 14
12931, 1, 170331
12931, 16, 41
12931, 32, 31
12932, 1, 417913
12932, 16, 98
12932, 32, 74
12933, 1, 380494
12933, 16, 81
12933, 32, 50
12934, 1, 202102
12934, 16, 37
12934, 32, 27
12935, 1, 422371
12935, 16, 68
12935, 32, 70
12936, 1, 384813
12936, 16, 74
12936, 32, 60
12939, 1, 461163
12939, 16, 81
12939, 32, 73
12940, 1, 411324
12940, 16, 87
12940, 32, 60
12946, 1, 155881
12946, 16, 29
12946, 32, 34
12957, 1, 350917
12957, 16, 78
12957, 32, 53
12959, 1, 339274
12959, 16, 71
12959, 32, 61
12960, 1, 5804
12960, 16, 1
12960, 32, 2
12961, 1, 355392
12961, 16, 61
12961, 32, 67
12962, 1, 179020
12962, 16, 27
12962, 32, 27
12963, 1, 137704
12963, 16, 30
12963, 32, 30
12965, 1, 489890
12965, 16, 90
12965, 32, 90
12968, 1, 389091
12968, 16, 81
12968, 32, 59
12969, 1, 421646
12969, 16, 76
12969, 32, 75
12970, 1, 382469
12970, 16, 69
12970, 32, 64
12971, 1, 377021
12971, 16, 73
12971, 32, 64
12972, 1, 301619
12972, 16, 54
12972, 32, 54
12973, 1, 167209
12973, 16, 29
12973, 32, 27
12974, 1, 190959
12974, 16, 33
12974, 32, 38
12975, 1, 162432
12975, 16, 24
12975, 17, 2
12975, 32, 29
12976, 1, 212556
12976, 16, 48
12976, 32, 34
12977, 1, 98539
12977, 16, 23
12977, 32, 15
12979, 1, 54722
12979, 16, 12
12979, 32, 10
12980, 1, 84325
12980, 16, 14
12980, 32, 12
12982, 1, 413609
12982, 16, 72
12982, 32, 65
12983, 1, 413518
12983, 16, 77
12983, 32, 75
12984, 1, 78957
12984, 16, 16
12984, 32, 14
12986, 1, 416805
12986, 16, 80
12986, 32, 66
12987, 1, 426252
12987, 16, 94
12987, 32, 86
12988, 1, 427649
12988, 16, 97
12988, 17, 1
12988, 32, 69
12989, 1, 115115
12989, 16, 19
12989, 32, 20
13000, 1, 384118
13000, 16, 62
13000, 32, 82
13027, 1, 180123
13027, 16, 35
13027, 32, 26
13028, 1, 178362
13028, 16, 41
13028, 32, 29
13029, 1, 399790
13029, 16, 89
13029, 32, 78
13029, 33, 1
13030, 1, 425146
13030, 16, 107
13030, 32, 63
13034, 1, 406697
13034, 16, 79
13034, 32, 86
13035, 1, 309289
13035, 16, 49
13035, 32, 42
13036, 1, 145610
13036, 16, 28
13036, 32, 37
13038, 1, 557544
13038, 16, 96
13038, 32, 90
13039, 1, 445485
13039, 16, 74
13039, 32, 81
13040, 1, 475160
13040, 16, 98
13040, 17, 1
13040, 32, 90
13041, 1, 99274
13041, 16, 30
13041, 32, 20
13042, 1, 177459
13042, 16, 30
13042, 32, 35
13043, 1, 75621
13043, 16, 18
13043, 32, 16
13044, 1, 388024
13044, 16, 78
13044, 32, 72
13045, 1, 366548
13045, 16, 74
13045, 32, 60
13048, 1, 7830
13048, 16, 2
13048, 32, 2
13049, 1, 377480
13049, 16, 86
13049, 32, 62
13050, 1, 389252
13050, 16, 81
13050, 32, 60
13051, 1, 379594
13051, 16, 74
13051, 32, 55
13052, 1, 295021
13052, 16, 54
13052, 32, 45
13053, 1, 195188
13053, 16, 38
13053, 32, 30
13054, 1, 385925
13054, 16, 89
13054, 32, 60
13055, 1, 283825
13055, 16, 62
13055, 32, 56
13056, 1, 171381
13056, 16, 33
13056, 32, 28
13057, 1, 177765
13057, 16, 37
13057, 32, 30
13058, 1, 407426
13058, 16, 78
13058, 32, 53
13059, 1, 342289
13059, 16, 68
13059, 32, 57
13060, 1, 417131
13060, 16, 89
13060, 32, 91
13061, 1, 417819
13061, 16, 64
13061, 32, 78
13062, 1, 433791
13062, 16, 80
13062, 32, 75
13062, 33, 1
13063, 1, 458988
13063, 16, 84
13063, 32, 79
