## <run number>, <fEvtHdr.fTrigBits>, <N Events>
11420, 1, 180419
11421, 1, 231865
11422, 1, 210890
11423, 1, 528847
11425, 1, 116285
11432, 1, 307713
11436, 1, 1076476
11446, 1, 121396
11449, 1, 607495
11451, 1, 566054
11452, 1, 1915944
11456, 1, 3586024
11477, 1, 1757575
11478, 1, 774725
11493, 1, 1191344
11494, 1, 1741662
11495, 1, 1725857
11496, 1, 1541489
11500, 1, 1106974
11547, 1, 1476903
11548, 1, 1314961
11551, 1, 660416
11554, 1, 434975
11562, 1, 1745489
11562, 32, 8
11562, 33, 1
11563, 1, 388744
11563, 32, 1
11564, 1, 982281
11564, 32, 7
11565, 1, 1299715
11565, 32, 10
11568, 1, 1389519
11568, 32, 3
11570, 1, 749589
11570, 32, 3
11571, 1, 1056522
11571, 32, 6
11573, 1, 2621023
11573, 32, 19
11579, 1, 2726874
11579, 32, 21
11580, 1, 796175
11580, 32, 4
11581, 1, 1934824
11581, 32, 8
11581, 33, 1
11582, 1, 1178446
11582, 32, 3
11583, 1, 1535801
11583, 32, 7
11583, 33, 1
11586, 1, 2235717
11586, 32, 16
11587, 1, 1750082
11587, 32, 4
11588, 1, 581969
11588, 32, 5
11589, 1, 158857
11590, 1, 833084
11590, 32, 5
11592, 1, 297596
11592, 32, 1
11593, 1, 1394917
11593, 32, 3
11593, 33, 2
11594, 1, 384587
11594, 32, 2
11595, 1, 609948
11595, 32, 2
11616, 1, 1125298
11616, 32, 4
